"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	166	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	14	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Denali Borough, AK"	"02068"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Dillingham Census Area, AK"	"02070"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	43	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Haines Borough, AK"	"02100"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	16	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	46	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Ketchikan Gateway Borough, AK"	"02130"	17	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Kodiak Island Borough, AK"	"02150"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	50	Not Applicable	Not Applicable
